;date;date_for_epoch;start_Овен;start_Телец;start_Близнецы;start_Рак;start_Лев;start_Дева;start_Весы;start_Скорпион;start_Стрелец;start_Козерог;start_Водолей;start_Рыбы;Sun_x;Sun_y;Sun_z;Sun_vx;Sun_vy;Sun_vz;Sun_l;Sun_ry;Sun_rr;Mercury_x;Mercury_y;Mercury_z;Mercury_vx;Mercury_vy;Mercury_vz;Mercury_l;Mercury_ry;Mercury_rr;Venus_x;Venus_y;Venus_z;Venus_vx;Venus_vy;Venus_vz;Venus_l;Venus_ry;Venus_rr;Mars_x;Mars_y;Mars_z;Mars_vx;Mars_vy;Mars_vz;Mars_l;Mars_ry;Mars_rr;Jupiter_x;Jupiter_y;Jupiter_z;Jupiter_vx;Jupiter_vy;Jupiter_vz;Jupiter_l;Jupiter_ry;Jupiter_rr;Saturn_x;Saturn_y;Saturn_z;Saturn_vx;Saturn_vy;Saturn_vz;Saturn_l;Saturn_ry;Saturn_rr;Uranus_x;Uranus_y;Uranus_z;Uranus_vx;Uranus_vy;Uranus_vz;Uranus_l;Uranus_ry;Uranus_rr;Neptune_x;Neptune_y;Neptune_z;Neptune_vx;Neptune_vy;Neptune_vz;Neptune_l;Neptune_ry;Neptune_rr;Pluto_x;Pluto_y;Pluto_z;Pluto_vx;Pluto_vy;Pluto_vz;Pluto_l;Pluto_ry;Pluto_rr
167;2020-04-12;2458951.5;желательно избегать;удачный день;утром придется;противоречивым будет;нужна осторожность;вы хотите;день успешного;плодотворный день;вам предстоит;благоприятный плодотворный;благоприятный день;стоит поспешить;0.9276130900069358;0.3799526151271092;-1.913247287516218e-05;-0.006233846637723185;0.01598300383184948;-1.334101643061862e-06;0.005789449507123037;1.00241210829688;0.0002894881101025038;1.162971512732298;0.02041006953234971;-0.05098941338967451;0.01169065723917005;0.03277070148229758;-0.0002738247941235982;0.00672424932841661;1.164267679978702;0.01226411764349163;0.2235389989020684;0.521527945781355;0.04255335461886792;-0.01032574953473826;-0.0039365628901574;-3.853267952273299e-05;0.003286325098253173;0.5690095519851823;-0.007667489853213487;0.849252682388521;-1.079543465080151;-0.02867829372790044;0.00826845100312363;0.01643610618935538;-0.0003476372033124473;0.007934701815660214;1.373851031252115;-0.007796709358576895;2.202595230931904;-4.651187824576406;-0.007648606423618434;0.0009972020145367455;0.01819503798337559;-0.0001723212536413256;0.02972290279491032;5.146361086436899;-0.01601729597526379;5.214835296089501;-8.680148009272097;-0.01314539689173478;-0.001492807798616368;0.01835549596238927;-0.0002309386833351102;0.05848397473077396;10.12618632208941;-0.01650277087934388;16.91732303538811;12.06662871239452;-0.1637228767023598;-0.0085767978736802;0.01897708184714256;3.998428702845372e-05;0.120017737913562;20.78042714543695;0.004036798354832585;30.2355126675795;-5.67184574923311;-0.5509120367157211;-0.005612511507551423;0.01907929899478364;-7.898676191344396e-05;0.1777001851085389;30.76783327676248;-0.009031136070845776;14.20780003473907;-30.93449628201273;-0.4900816356689872;-0.003269281088178503;0.0165437843153456;-0.0009050744599698409;0.1966260624034067;34.0447473490201;-0.01638371289002923
168;2020-04-11;2458950.5;ко многим;благоприятный день;будет много;трудно договориться;приятный день;отличный день;не спешите;действуйте решительно;день будет;в первой;отличный плодотворный;старайтесь не;0.9337106212909103;0.3639154094527253;-1.782280150611813e-05;-0.005960949968052055;0.01609065580725546;-1.278836034274148e-06;0.005787778151022993;1.00212272195887;0.0002892213845148817;1.15072974439726;-0.01175467631432722;-0.05062361740029873;0.01277834190981473;0.03155452980885269;-0.0004566895068087476;0.006652835253709881;1.151902716245834;0.01246339982355553;0.2340076677203911;0.5253514104859093;0.04257494087251722;-0.01061077443763907;-0.0037084804570879;-4.628835120949443e-06;0.003330658441528634;0.5766856324218331;-0.007684351475033263;0.8408518556797582;-1.09596470830233;-0.02832933026432611;0.00853324318119426;0.01640568029759673;-0.0003502767139166835;0.007979778999073574;1.381655903616211;-0.007813038054566986;2.201460149976854;-4.669431409134571;-0.007476292158786504;0.001272531747392086;0.01829137442163854;-0.0001723113669514347;0.02981536724210509;5.162370809181865;-0.01600187299837644;5.2161912744664;-8.698556491138085;-0.01291442770105434;-0.00121885051452707;0.0184607422121926;-0.000231009922672813;0.05857916185049127;10.14266746096818;-0.01645884415528004;16.92576317802087;12.04759721934827;-0.1637628807709053;-0.008303230934216031;0.01908515878930382;4.006207646570892e-05;0.1199936561184162;20.77625751186228;0.004302277483025659;30.24098885905621;-5.690978998209091;-0.5508330013231284;-0.005339530502831626;0.01918643766931724;-7.914498990124763e-05;0.177751658056973;30.77674554151178;-0.008792960264038177;14.21093603585654;-30.95108895097836;-0.4891736388355902;-0.003001037180182505;0.01664134140523688;-0.0009125197751913001;0.1967206234122775;34.06112008016636;-0.01636084789858223
169;2020-04-10;2458949.5;этот день;отличный день;вы настроены;начало дня;приятный день;благоприятный день;неоднозначный день;действуйте решительно;непростой день;неплохой день;неплохой день;вы сможете;0.9395344685339714;0.3477727925110001;-1.658733597013153e-05;-0.005686487636352437;0.01619384104571169;-1.186096381781697e-06;0.005786109391133336;1.001833785140754;0.0002885969775261477;1.137443435331969;-0.04269121132090762;-0.05007820496090917;0.01378020504930467;0.03031500468325883;-0.0006330436794549942;0.006580310228875339;1.139345397461167;0.01264912398204768;0.2447588555848212;0.5289411352514035;0.0425625951358573;-0.0108907214060938;-0.003469083876528063;2.932633600904207e-05;0.003375083625640032;0.5843776146062867;-0.007699291270502668;0.8321861237346793;-1.112353442509348;-0.02797776607095116;0.008798253659615653;0.01637110504984591;-0.0003528390429688559;0.008024950606747317;1.389477125034187;-0.007829419144108413;2.200049407081203;-4.687770262283368;-0.007304043709723744;0.001550021899552021;0.01838539142637589;-0.0001721742847429101;0.02990774014486611;5.178364681499473;-0.015984797122373;5.217272398914817;-8.717067999526764;-0.01268338464653517;-0.0009431241554983572;0.01856152317724217;-0.0002310645908717817;0.05867408358825966;10.15910265038689;-0.0164108652498565;16.93392904883014;12.02845986680263;-0.1638030171919725;-0.008028281028988098;0.01918880825995838;4.016880125899037e-05;0.1199680445810414;20.77182301163131;0.004566517290936325;30.24619104602513;-5.710217199856231;-0.5507536877852858;-0.005064510558527946;0.01928929514712681;-7.947545547637803e-05;0.1778017480122151;30.78541834841283;-0.008552245236695195;14.21379841802472;-30.96777991717514;-0.4882549965184784;-0.002722026147233392;0.0167415186117914;-0.0009246081349133123;0.1968150433361758;34.07746838320686;-0.01633591275011655
170;2020-04-9;2458948.5;день важных;благоприятный день;благоприятный день;старайтесь избегать;благоприятный день;благоприятный день;настройтесь на;благоприятный день;благоприятный день;вы хорошо;удачный день;нужна разборчивость;0.9450830857529267;0.3315291867002496;-1.546164277945595e-05;-0.005410491256864225;0.01629264781599036;-1.060399680259295e-06;0.005784445122415608;1.001545625944952;0.0002876798780645524;1.123197020426575;-0.07237827324021966;-0.04935972295653976;0.01469900682086399;0.02905622655438641;-0.0008028200742625887;0.006506747611199637;1.126608425045152;0.01282297186390364;0.2557872787459242;0.532285810435823;0.04251628167243801;-0.0111651714903813;-0.003218384779167896;6.330094548657344e-05;0.003419589494245715;0.5920835668778658;-0.007712286436153371;0.8232552840487687;-1.128705569280406;-0.02762367646558792;0.00906345862224067;0.01633248190597297;-0.0003553286253522494;0.008070217122407847;1.397314779260671;-0.00784591114662163;2.198359886245155;-4.706199622736771;-0.007131910493032825;0.001828738718348642;0.01847290434517536;-0.0001720845214286584;0.02999999694294362;5.194338450914305;-0.01596271076892897;5.218076991644709;-8.735678067271971;-0.01245231319876324;-0.0006657901204941494;0.01865789090628013;-0.0002310756466991168;0.05876871685315437;10.17548789227585;-0.01635897922699051;16.94181916207323;12.00922108839209;-0.1638431466306324;-0.007751631026015541;0.01928801554903559;4.01112961940699e-05;0.1199409099441875;20.76712479490049;0.004829784626444148;30.25111729196477;-5.729556281484466;-0.5506741393825383;-0.004787725504749756;0.01938821927676629;-7.954925646694552e-05;0.1778504411174912;30.79384929823962;-0.008309326033046304;14.21637777598468;-30.98457381665056;-0.4873265629736778;-0.002436251233792499;0.01684686226017544;-0.0009304820940473428;0.1969093245726865;34.09379267327057;-0.01631305944355646
171;2020-04-8;2458947.5;будьте готовы;первая половина;начало дня;вы стараетесь;преобладает влияние;благодаря верным;день не;спокойствие и;день складывается;дел и;есть шанс;начало дня;0.9503549350703728;0.3151889311597517;-1.447465409453111e-05;-0.005132945596419668;0.0163871504886851;-9.104690531536996e-07;0.005782786767397445;1.001258490674488;0.0002865676387552312;1.108072217541785;-0.1007984612403445;-0.04847477038286917;0.01553741715093074;0.02778182436025478;-0.0009659804778922587;0.006432211574288538;1.113702910313186;0.01298644430149991;0.2670872123349496;0.5353741496613555;0.04243599876517693;-0.01143366163884718;-0.002956421931030489;9.72588755953661e-05;0.00346416472075862;0.5998015280988138;-0.007723303787546437;0.8140591343714617;-1.145017086563702;-0.02726713021343468;0.009328881211786343;0.01628989824676007;-0.00035775410613725;0.008115579278409444;1.40516899309888;-0.00786253894974006;2.196390770017573;-4.724715056648757;-0.006959906484110919;0.002109927888098209;0.01855658987086771;-0.0001719425144988725;0.03009212060589651;5.210289168696889;-0.01593753706016853;5.218603419557998;-8.754382327049814;-0.0122212470742029;-0.0003867917329334448;0.01874989639735096;-0.0002310448542093401;0.05886303928109234;10.19181931441411;-0.0163032178586489;16.94943176470046;11.98988526477272;-0.163883337079851;-0.007473337323741637;0.01938292885435483;4.03042929948205e-05;0.1199122573349458;20.76216374939817;0.005092131442063634;30.25576606946417;-5.748992285585285;-0.5505947442592382;-0.004509642363680989;0.01948308238334635;-7.917371586259278e-05;0.1778977259614797;30.80203641518307;-0.008064635037554686;14.21867157550756;-31.00147341116099;-0.486398010636186;-0.002152326686638758;0.0169513964160928;-0.0009248057123102134;0.1970034770251446;34.11009466506681;-0.01629053432286294
172;2020-04-7;2458946.5;не сердитесь;вы стремитесь;будьте осторожны;благоприятный день;благоприятный день;удачный день;будьте внимательнее;благоприятный плодотворный;благоприятный день;будьте внимательны;непростой но;благоприятный день;0.9553484427171479;0.2987563072871188;-1.364475569227664e-05;-0.004853796625901878;0.01647738665322185;-7.484373803537913e-07;0.005781135116994114;1.000972516272097;0.0002853786173007235;1.092148130802257;-0.1279377831014896;-0.04742997303031608;0.01629798840119471;0.02649499233182365;-0.00112250825949914;0.006356758123268291;1.100638550252281;0.01314086946994209;0.2786524493148729;0.5381949285354615;0.04232178263941743;-0.01169569315540375;-0.002683284047295051;0.0001311606000369105;0.003508797804665219;0.6075295070169402;-0.007732319838954176;0.8045974285939337;-1.16128406298656;-0.02690818560910432;0.009594583477098894;0.01624340450127079;-0.0003601275445697156;0.008161037822014853;1.413039895933344;-0.007879281565295075;2.194140726021314;-4.743311231973374;-0.006788005993277547;0.002390353161442485;0.01863587299678899;-0.0001718280202082459;0.03018408828077192;5.226212877981098;-0.01591014565497259;5.218850036660357;-8.773176414742613;-0.01199023941803982;-0.0001061591547011009;0.01883756256275398;-0.000230967618529703;0.05895702858390937;10.20809305772568;-0.0162436331644389;16.95676535827213;11.97045664091875;-0.1639237505794207;-0.007193575460322441;0.01947360390632234;4.049751015633283e-05;0.1198820925441672;20.75694087777911;0.005353463315519205;30.26013620523882;-5.768520948349038;-0.5505158585901638;-0.004230428149577501;0.01957346662995963;-7.860150508839002e-05;0.1779435927715254;30.80997800716038;-0.007818246831217561;14.22068499532804;-31.01847323444349;-0.4854792284728797;-0.001875799042984032;0.0170459925997595;-0.0009125193396087261;0.1970974860332515;34.12637182024356;-0.01626228555010964
173;2020-04-6;2458945.5;отличный день;веселый и;для того;удачный плодотворный;сохраняйте спокойствие;могут непросто;не расстраивайтесь;вы деятельны;настройтесь на;начало дня;плодотворный день;начало дня;0.9600619697743452;0.2822355844063401;-1.297725785746695e-05;-0.004572972309577654;0.016563341292324;-5.879396963260866e-07;0.005779490265483814;1.000687719061543;0.0002842320419407699;1.075501384756069;-0.1537852391099208;-0.04623196567569708;0.01698312135222108;0.02519852824156772;-0.001272400831116679;0.006280436096847233;1.087423801022654;0.01328739946551478;0.2904762745763866;0.5407370434466838;0.04217370997862782;-0.01195075289350977;-0.00239912553513473;0.000164965116018489;0.003553477186014724;0.6152655020888126;-0.007739340204335041;0.7948698473799433;-1.17750259201367;-0.02654688794148862;0.009860645580345622;0.01619299832892017;-0.0003624625060400352;0.008206593241482693;1.420927572303424;-0.007896071287814232;2.191608394589398;-4.761985385128646;-0.006616268466832184;0.002674422809982524;0.018711070844273;-0.0001716738168389319;0.03027589065918646;5.242107967070305;-0.01587899812486223;5.218815167538216;-8.792055994567358;-0.01175932582352251;0.000176180139452438;0.01892087047260476;-0.0002308563701777041;0.05905066262384598;10.22430528917631;-0.01618018845123471;16.96381831702788;11.95093948959653;-0.1639643486580627;-0.006912067432458484;0.01955998832324294;4.073336265879315e-05;0.1198504207614518;20.75145707859473;0.005613991417012924;30.26422643524585;-5.788137635532604;-0.5504374533043642;-0.00394974220475;0.01965912140062951;-7.82784265706117e-05;0.1779880307772011;30.81767220932987;-0.007569763995915763;14.22242488053101;-31.0355605986818;-0.4845715174041829;-0.001604172333196106;0.01712652110429323;-0.0009044559373558899;0.1971913023404587;34.14261561029379;-0.01622336545089455
174;2020-04-5;2458944.5;в первой;удачный день;важно не;старайтесь сохранять;запаситесь терпением;далеко не;будьте внимательны;благоприятный день;подходящий день;подходящий день;сегодня вы;постарайтесь максимально;0.964493807287149;0.2656310744690736;-1.246407119798895e-05;-0.004290408887896674;0.01664494521292416;-4.417617925135696e-07;0.005777851666701595;1.000404004477295;0.0002832274586265959;1.0582062936849;-0.1783324483640531;-0.0448873816714409;0.01759503038743698;0.0238948807290133;-0.001415662518068892;0.006203288213120696;1.074066059033228;0.01342699973830127;0.3025514638094484;0.5429895793042453;0.04199189821064932;-0.01219833994170856;-0.002104167966575185;0.0001986323202124952;0.003598191449838114;0.6230075368738124;-0.007744410220788157;0.7848759931709371;-1.193668737071857;-0.0261832691630754;0.01012713951228465;0.01613862305011864;-0.000364771711599405;0.008252245525520579;1.428832020253904;-0.007912805729054036;2.188792125368152;-4.780732413165215;-0.006444659368601248;0.002958878020603699;0.0187827360189426;-0.0001715235910165996;0.03036750562903864;5.257970607372822;-0.01584599207426435;5.218497076760636;-8.811016688732849;-0.01152852900859061;0.0004603102960237161;0.01899975883818793;-0.0002307287690994809;0.05914391897348268;10.2404521255787;-0.01611280461880375;16.97058898469913;11.93133809895606;-0.1640052120289023;-0.006628992042243721;0.01964205894568348;4.095424259605443e-05;0.1198172470039463;20.74571322053702;0.005873571513509035;30.26803501053496;-5.807837666942339;-0.5503591495379554;-0.00366704023246091;0.01974020773558035;-7.83923053134148e-05;0.178031026324967;30.82511665765443;-0.007318670769819596;14.22389216667108;-31.05272304735631;-0.4836664257171614;-0.001329084302927579;0.01719753317896766;-0.0009076876126516978;0.1972848628916875;34.15881511756909;-0.01617433060205926
175;2020-04-4;2458943.5;в первой;благоприятный день;старайтесь меньше;сосредоточьтесь на;благоприятный день;это отличный;неплохой день;вам стоит;старайтесь ни;благоприятный плодотворный;вероятны неприятные;удачный день;0.9686421960590856;0.2489471809415033;-1.208556797516796e-05;-0.00400607237104708;0.01672208751849047;-3.199592823554927e-07;0.005776218290595935;1.000121194171462;0.0002824315829278313;1.0403350622454;-0.2015733274016363;-0.04340284913069168;0.01813571706902477;0.02258620597558912;-0.001552298613745723;0.006125352178790493;1.060571852997038;0.01356043892348045;0.3148703074568343;0.544941871360232;0.04177650358384228;-0.01243798751755994;-0.001798687496460405;0.0002321249143016919;0.003642929556365336;0.6307536998950095;-0.007747613240494588;0.7746154098744665;-1.209778482490118;-0.02581734974462507;0.01039410760263493;0.01608018011056336;-0.0003670651610903184;0.008297994017742547;1.436753126135077;-0.007929367345407634;2.185689532487404;-4.799548556058202;-0.006273189976317975;0.003245948452808138;0.01884859175205568;-0.0001714371438708456;0.03045891652289943;5.27379791301277;-0.01580815603637988;5.217893976922523;-8.830053963471613;-0.01129789394780001;0.0007461567946404077;0.01907401917084618;-0.0002305344861261385;0.05923677437230635;10.25652953949984;-0.01604135651795895;16.97707567292048;11.91165687441291;-0.1640461939129606;-0.006344048489413249;0.01971962801180527;4.101345633741394e-05;0.1197825764309085;20.73971019690377;0.006132357780380932;30.27155975872818;-5.827616649698599;-0.550280605461689;-0.003382094233385963;0.01981707078468301;-7.868993158995794e-05;0.1780725636304547;30.83230861915538;-0.007064805314972083;14.22507953533841;-31.06995557955852;-0.4827532864785823;-0.001043740083337094;0.0172681516597085;-0.0009192101838244674;0.1973781237774686;34.17496273938055;-0.01612069757535876
176;2020-04-3;2458942.5;благоприятный день;благоприятный день;день может;важно держать;обсуждение любых;благоприятный день;спокойный день;утром возможны;не спешите;благоприятный день;насыщенный благоприятный;спокойный плодотворный;0.9725053625350739;0.2321884309627896;-1.181382993525998e-05;-0.003719968695181046;0.01679463512960647;-2.290079792886964e-07;0.005774588824918638;0.9998390609353108;0.000281875842349592;1.021958005699497;-0.223503827623629;-0.04178499225758625;0.01860695778312011;0.02127442724460164;-0.001682311058129465;0.006046661841944286;1.046947043528789;0.01368828441860727;0.3274246511554615;0.5465835501869198;0.04152771783210843;-0.01266927352129009;-0.001482995218671841;0.0002654092792262558;0.003687681031697039;0.6385021776529474;-0.007749059574335572;0.7640876186455637;-1.225827701168361;-0.02544914191674601;0.01066155236579438;0.01601754859198288;-0.0003693492864465406;0.00834383738539289;1.444690659187446;-0.007945642145057358;2.182299710806575;-4.818429223001688;-0.00610181687613117;0.003534821847356066;0.01891196103441505;-0.0001713015952607497;0.03055010603263995;5.289586887180539;-0.01576887979067713;5.217004220242314;-8.84916319717215;-0.01106745340037916;0.001033644812096133;0.01914367203798703;-0.0002303525281442009;0.05932920562504169;10.27253351480232;-0.01596591522998176;16.98327649000217;11.89190036305465;-0.1640873109347428;-0.0060573470274875;0.0197926312111909;4.123257949472291e-05;0.1197464136300194;20.73344880202735;0.006390236108061646;30.27479854887353;-5.847470435197849;-0.5502018540607868;-0.003095205547172481;0.01988978586510029;-7.874895351224544e-05;0.1781126274073287;30.83924544708576;-0.006808478234547937;14.22597641570269;-31.08726114815603;-0.4818287258551032;-0.0007489595944774797;0.01734383971729725;-0.0009286425145091941;0.1974710756991656;34.19105686571914;-0.01606793588302364
177;2020-04-2;2458941.5;начало дня;старайтесь ни;не торопитесь;не расстраивайтесь;стоит быть;день начинается;день начинается;старайтесь не;важно сохранять;будьте осторожнее;постарайтесь воздержаться;удачный благоприятный;0.9760815589989076;0.215359488000214;-1.161622561231196e-05;-0.003432142716818149;0.01686245109574899;-1.719445404107425e-07;0.005772961864942085;0.9995573615477948;0.0002815622529477342;1.003143775585168;-0.2441217303617351;-0.04004043622692097;0.01901030459068467;0.01996128953838858;-0.001805695594298966;0.005967248351709256;1.033197023932665;0.01381090410494559;0.3402059408878604;0.5479045670209102;0.04124576448582441;-0.01289181992419311;-0.001157418717799395;0.00029845535915064;0.003732436082915073;0.6462512745564108;-0.007748872468358397;0.7532921579870834;-1.241812141748343;-0.02507865324140704;0.01092943749679894;0.01595060352188195;-0.0003716270891870248;0.008389773678753272;1.452644281827745;-0.00796153180920643;2.178619322901383;-4.837369707502573;-0.00593053275316427;0.003825616965079709;0.01896833616932097;-0.0001712768859256249;0.03064105059307153;5.305333449690184;-0.01572404011415086;5.215826134367087;-8.868339709116094;-0.01083719028314709;0.001322783655668506;0.01920854713135834;-0.0002301743583004893;0.05942118925740614;10.28845998704011;-0.01588634426149977;16.98918986199256;11.87207318523666;-0.1641285693211614;-0.00576909962877506;0.01986091465862914;4.122784582768606e-05;0.1197087648444103;20.72693011687243;0.006646962959916197;30.27774970282153;-5.867394713242528;-0.5501232434466813;-0.002806896858277716;0.01995796192487545;-7.842279595337134e-05;0.1781512047507315;30.84592490703879;-0.006550123531964629;14.22657687331978;-31.10464396896695;-0.4808996440435776;-0.0004524370808210625;0.01742143659134613;-0.0009275008643257412;0.1975637280523269;34.20709912337365;-0.01601650513248367
178;2020-04-1;2458940.5;стоит использовать;спокойный благоприятный;день когда;день прошел;благоприятный день;несмотря на;утром возможны;важно реально;день будет;начало дня;неоднозначный день;благоприятный день;0.979369099017735;0.198465148986528;-1.145852166134407e-05;-0.003142670615187321;0.01692540690878604;-1.490762274773794e-07;0.005771336056914011;0.9992758616139751;0.0002814727418294861;0.9839595799965166;-0.2634264921795091;-0.03817581437613424;0.01934709417674647;0.01864840507906307;-0.00192243989193036;0.00588714129749954;1.019326917456909;0.01392847102426115;0.3532052637727712;0.5488952034462402;0.04093089562414972;-0.01310528556109205;-0.0008222896057621497;0.0003312359762720956;0.003777185637101726;0.6539994196783949;-0.007747176413687531;0.7422286191005556;-1.257727431301297;-0.0247058897174919;0.0111976954541228;0.0158792281928193;-0.00037389884433319;0.008435800437961393;1.460613568144021;-0.007976958178726967;2.174647466575162;-4.856364848197041;-0.005759278463817682;0.004118688970098736;0.01902054138893521;-0.0001712543698354039;0.03073173021393435;5.321034139335516;-0.01567608919142888;5.214358136692629;-8.887578681056715;-0.01060709162298734;0.001613467180503321;0.0192685736614766;-0.0002300259563309007;0.05951270145813662;10.30430483342079;-0.01580265059052162;16.99481406356372;11.85218017529744;-0.1641697258697009;-0.005479005794111232;0.01992428159005226;4.110273963505982e-05;0.1196696362086723;20.72015520361054;0.006902686843491003;30.28041195840062;-5.887384648355915;-0.5500450447118537;-0.002517407649041779;0.02002101639918864;-7.799753361437677e-05;0.1781882844822593;30.85234506353382;-0.006289851313305244;14.22688337438414;-31.1221016088308;-0.4799770330478725;-0.0001619139178700905;0.01749187285321382;-0.0009167542721626935;0.1976560758822222;34.22308865445914;-0.01596136921516394
179;2020-03-31;2458939.5;события этого;сильно влияние;начало дня;утро благоприятно;не исключены;благоприятный день;вас ждет;удачный день;большая часть;вы наверняка;важные дела;вас ждет;0.9823663841269963;0.1815103325032644;-1.130719075488053e-05;-0.0028516506746252;0.01698338828012405;-1.588159954952507e-07;0.005769710187971814;0.9989943511332022;0.0002815778619860765;0.9644713931764152;-0.2814191309046199;-0.03619777701365218;0.01961845951241416;0.01733728954986633;-0.002032522117252981;0.005806369822134385;1.005341770024252;0.01404096718530173;0.36641338048411;0.5495460719669863;0.04058338940624045;-0.01330935729837465;-0.0004779375816158037;0.0003637260202236176;0.003821921325554655;0.6617451640230064;-0.007744089967382974;0.7308966724801458;-1.273569086970097;-0.02433085808265743;0.01146623666895523;0.01580331994365831;-0.0003761629330773765;0.008481914808508151;1.468598023893344;-0.007991862284055304;2.170382589768471;-4.875408676230649;-0.00558797924496138;0.004411013128506254;0.01906705260408723;-0.000171324802991379;0.03082211922335034;5.336684511168636;-0.01562489408261082;5.212598726189024;-8.906875205238949;-0.01037712769715298;0.001905586628186046;0.01932364890667985;-0.0002299116268980994;0.05960371828828342;10.32006390904374;-0.01571481402615076;17.00014736983572;11.83222627148045;-0.1642108054807312;-0.005187374294229853;0.01998268919477893;4.103495653705407e-05;0.1196290341229417;20.7131251703909;0.007157144708879452;30.2827840556338;-5.907434931331539;-0.5499671371062841;-0.002226517176495819;0.02007865178017582;-7.789553699125768e-05;0.1782238548179477;30.85850387624069;-0.00602737023520991;14.22690311236571;-31.13962288860297;-0.4790661500961783;0.0001216593013443253;0.01754813855795805;-0.0009059669034146037;0.1977480791950141;34.2390185342573;-0.01589641254984343
180;2020-03-30;2458938.5;сегодня вас;день подходит;день может;будьте осторожны;день пройдет;день может;не все;день будет;важно сохранять;в начале;удачный день;окружающие чаще;0.9850719218703744;0.1645000637138756;-1.113094238804128e-05;-0.002559195539134393;0.01703629626134247;-1.983737387270005e-07;0.005768083232581903;0.9987126525398385;0.0002818429843202067;0.9447441536067003;-0.2981021442128347;-0.03411300158237852;0.01982534082657698;0.01602939142771651;-0.002135909614929462;0.005724963722143233;0.9912467407438419;0.01414818389384019;0.3798207494081645;0.5498481131601096;0.04020354835511089;-0.01350374266926575;-0.0001246891348184293;0.00039590178121447;0.003866635439096368;0.6694871727875406;-0.00773972273133671;0.7192960858648363;-1.289332530863138;-0.02395356733820038;0.01173495729149066;0.01572279128174879;-0.0003784165360378966;0.008528113642551956;1.476597104043836;-0.008006200858457713;2.165823899335921;-4.894497568035532;-0.005416647588064379;0.004706596901919166;0.01910920732431782;-0.0001713669128587634;0.03091220622614427;5.352282592176116;-0.01557006362274043;5.210546505698942;-8.926224303391962;-0.01014725245271837;0.002199065759317439;0.01937369745788774;-0.0002298435297712171;0.05969421583556737;10.33573307362613;-0.01562282048661453;17.00518828733302;11.81221650208925;-0.164251757201974;-0.00489419728129463;0.02003599290405923;4.088984222329604e-05;0.119586966285902;20.70584135019926;0.007410277172986724;30.28486440330125;-5.927540200129457;-0.5498891002026531;-0.001933867504159314;0.02013104821788229;-7.823568886085211e-05;0.1782579019458659;30.8643989536977;-0.005762350727578264;14.2266401852999;-31.15719347691194;-0.4781617934350383;0.0004049029109411222;0.0175914417039479;-0.0009047769685635382;0.1978396731514824;34.25487753620519;-0.01581984680380406
181;2020-03-29;2458937.5;важно настроиться;день складывается;удачный день;вы можете;легкий благоприятный;проявите настойчивость;отличный день;день вас;день сложится;благоприятный день;день благоприятен;большая часть;0.9874843373304368;0.1474394595215138;-1.090167579572713e-05;-0.002265426978631367;0.01708404602835114;-2.642184068164246e-07;0.005766454371217803;0.9984306239372742;0.0002822317847840717;0.9248419520691005;-0.3134794552515086;-0.03192820415027388;0.01996849462203168;0.01472611715262899;-0.002232557561084716;0.005642954559185667;0.9770472943476322;0.0142497174878609;0.3934175446695226;0.5497925928703812;0.03979169819506388;-0.01368816501535871;0.0002371314279195811;0.0004277405121641429;0.003911320874586786;0.6772242161014177;-0.007734175067680241;0.7074267356854582;-1.305013104724438;-0.02357402969652738;0.01200374442995143;0.01563756867160242;-0.0003806560990952613;0.008574393578409088;1.484610226538007;-0.008019942536679937;2.160969906080012;-4.91362562151034;-0.00524523217442905;0.005001906815261524;0.01914663211910407;-0.0001714419728961083;0.03100196628895748;5.367824065280725;-0.01551271274535687;5.208200207609333;-8.945620915485213;-0.009917418527553902;0.002493721159279416;0.01941869763974944;-0.0002298457196608956;0.05978417022716258;10.35130819371632;-0.01552675528678719;17.00993533387838;11.792155993266;-0.1642926551553828;-0.004599725287712265;0.02008417007106286;4.092241602502097e-05;0.1195434406876495;20.6983051264779;0.007661879199974304;30.28665119300022;-5.947695404330571;-0.5498106188173786;-0.001639445704049483;0.0201785713386912;-7.870844465836578e-05;0.1782904111190581;30.87002774254861;-0.005494845773430833;14.22609061321997;-31.17480421246057;-0.4772529125240499;0.0006960070886470785;0.01763005080670766;-0.0009142811739868141;0.197930800230381;34.27065570080776;-0.01573578234391486
